Country,Date,Cases,Deaths,Tests,Cases/Population,Deaths/Cases,Tests/Cases
United States,2020-10-03,7384675.0,209584.0,122409501.0,0.02250053321145643,0.028380937549722905,16.576152775849987
United States,2020-10-04,7420413.0,209958.0,123050881.0,0.022609424131627056,0.02829465152411328,16.582753682308518
United States,2020-10-05,7459789.0,210441.0,123857591.0,0.02272939975624619,0.028210047227877358,16.60336384849491
United States,2020-10-06,7505078.0,211126.0,125084623.0,0.02286739183424741,0.028131086712223377,16.666665289821104
United States,2020-10-07,7556134.0,212043.0,126496535.0,0.02302295551492992,0.028062366284134187,16.74090679175356
United States,2020-10-08,7614733.0,213034.0,127927263.0,0.023201502132845827,0.027976555448497014,16.799966985053842
United States,2020-10-09,7671117.0,214005.0,129327625.0,0.023373299817184643,0.02789750175887032,16.85903434923493
United States,2020-10-10,7726070.0,214664.0,130431445.0,0.023540737355271176,0.027784371614546593,16.881991102850478
United States,2020-10-11,7772051.0,215135.0,131179248.0,0.023680837903717247,0.027680595508186964,16.87833082927531
United States,2020-10-12,7813825.0,215534.0,131988289.0,0.023808120048750762,0.027583673808922005,16.891636170505482
United States,2020-10-13,7866056.0,216334.0,133052703.0,0.023967263863497866,0.027502219663831533,16.914792241499423
United States,2020-10-14,7925834.0,217321.0,134281599.0,0.0241494028031688,0.027419322685789282,16.942267400503216
United States,2020-10-15,7990714.0,218159.0,135584329.0,0.024347087141986593,0.027301565291912588,16.96773642505538
United States,2020-10-16,8059861.0,219103.0,136913726.0,0.024557772699573432,0.027184463851175598,16.987107594039152
United States,2020-10-17,8116620.0,219868.0,138030082.0,0.02473071297989031,0.02708861570456668,17.00585736427232
United States,2020-10-18,8165987.0,220358.0,138800744.0,0.02488113040828763,0.026984858045941047,16.99742407133394
United States,2020-10-19,8233704.0,220841.0,139675785.0,0.02508745886654479,0.026821586007949764,16.963906523722496
United States,2020-10-20,8295660.0,221766.0,140952699.0,0.025276234003656306,0.026732773522540703,16.991137414021306
United States,2020-10-21,8358961.0,222888.0,142432020.0,0.025469107251675806,0.02666455795164016,17.039440667326957
United States,2020-10-22,8435271.0,223781.0,143964149.0,0.025701617915904935,0.026529201017963737,17.066926361939053
United States,2020-10-23,8517204.0,224744.0,145429634.0,0.02595126142595978,0.02638706317237441,17.074809291875596
United States,2020-10-24,8599971.0,225697.0,146609428.0,0.026203446069469834,0.026243925706261103,17.04766539329028
United States,2020-10-25,8662175.0,226158.0,147402978.0,0.026392976843388177,0.026108685174335546,17.01685523554996
United States,2020-10-26,8729485.0,226691.0,148356359.0,0.026598065204143814,0.025968427690751517,16.994858115914056
United States,2020-10-27,8806323.0,227663.0,149695787.0,0.026832184643510056,0.02585222004689131,16.998670954949073
United States,2020-10-28,8885749.0,228695.0,151198658.0,0.027074189518586228,0.025737278872045563,17.01585966472832
United States,2020-10-29,8976768.0,229699.0,152683719.0,0.027351517367458868,0.025588162688397427,17.008762953437138
United States,2020-10-30,9076032.0,230757.0,154185064.0,0.02765396709323583,0.025424877303209154,16.988157820510107
United States,2020-10-31,9165786.0,231682.0,155406048.0,0.02792744058500914,0.025276828413842524,16.955015969170564
United States,2020-11-01,9270686.0,232188.0,156306402.0,0.028247062766605727,0.025045395777615595,16.860284341417668
United States,2020-11-02,9355897.0,232760.0,157323482.0,0.02850669408897014,0.024878426942921666,16.815435441411978
United States,2020-11-03,9483095.0,234338.0,158690858.0,0.028894256550883606,0.024711130701527296,16.73407869477212
United States,2020-11-04,9587636.0,235445.0,160323101.0,0.029212784887263865,0.02455714839403582,16.72185938222936
United States,2020-11-05,9717003.0,236610.0,162018774.0,0.02960695612431444,0.024350100540259174,16.673739217740284
United States,2020-11-06,9845036.0,237835.0,163696198.0,0.029997062766605728,0.024157859859527175,16.62728282557829
United States,2020-11-07,9972546.0,238924.0,165151961.0,0.030385575868372944,0.023958174773021854,16.560661740743036
United States,2020-11-08,10087716.0,239497.0,166162961.0,0.030736489945155394,0.023741449501552186,16.471811954261995
United States,2020-11-09,10208150.0,240272.0,167386786.0,0.031103443022547226,0.023537271689777286,16.39736739761857
United States,2020-11-10,10348654.0,241688.0,168925105.0,0.03153154783668495,0.023354534802303758,16.32338901271605
United States,2020-11-11,10495404.0,243122.0,170715960.0,0.03197868372943327,0.023164615673679643,16.265782622565077
United States,2020-11-12,10660154.0,244331.0,172569023.0,0.032480664229128584,0.022920025357982633,16.188229832327
United States,2020-11-13,10840552.0,245530.0,174473625.0,0.03303032297379647,0.02264921564879722,16.09453328575888
United States,2020-11-14,11008478.0,246877.0,176072734.0,0.033541980499695305,0.02242607924546881,15.994284950199292
United States,2020-11-15,11144834.0,247657.0,177270654.0,0.03395744667885436,0.022221685850143662,15.906082943900286
United States,2020-11-16,11307458.0,248491.0,178761055.0,0.034452949421084705,0.02197584992135279,15.809128364659855
United States,2020-11-17,11471416.0,250208.0,180665751.0,0.03495251675807434,0.021811431125852293,15.749210995399347
United States,2020-11-18,11644667.0,252123.0,182764494.0,0.03548039914686167,0.021651370537259674,15.695124128495904
United States,2020-11-19,11836177.0,254177.0,184839926.0,0.036063915295551495,0.021474585924154396,15.616522632265468
United States,2020-11-20,12034510.0,256136.0,186988964.0,0.03666822059719683,0.02128345898586648,15.537729745540117
United States,2020-11-21,12213946.0,257759.0,188845290.0,0.03721494820231566,0.02110366297673168,15.461447921908285
United States,2020-11-22,12360893.0,258796.0,190268059.0,0.037662684338817795,0.02093667504443247,15.39274379286351
United States,2020-11-23,12534982.0,259895.0,191940671.0,0.038193120048750764,0.020733575843986055,15.312401007037744
